id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
GOCHkuO4/,GOCHkuO41,1,2,Attempt missed. Gotoku Sakai (Stuttgart) right footed shot from the centre of the box is too high. Assisted by Vedad Ibisevic.,1,12.0,1,VfB Stuttgart,Werder Bremen,gotoku sakai,vedad ibisevic,,,10.0,2.0,0,3.0,1.0,1,1.0,0
GOCHkuO4/,GOCHkuO42,2,3,Foul by Tunay Torun (Stuttgart).,3,,1,VfB Stuttgart,Werder Bremen,tunay torun,,,,,,0,,,0,,0
GOCHkuO4/,GOCHkuO43,3,3,Aaron Hunt (SV Werder Bremen) wins a free kick in the defensive half.,8,,2,Werder Bremen,VfB Stuttgart,aaron hunt,,,,,,0,2.0,,0,,0
GOCHkuO4/,GOCHkuO44,4,4,Attempt saved. Ibrahima Traore (Stuttgart) right footed shot from outside the box is saved in the centre of the goal. Assisted by Christian Gentner.,1,12.0,1,VfB Stuttgart,Werder Bremen,ibrahima traore,christian gentner,,,5.0,1.0,0,15.0,1.0,1,1.0,0
GOCHkuO4/,GOCHkuO45,5,7,"Offside, SV Werder Bremen. Kevin De Bruyne tries a through ball, but Aaron Hunt is caught offside.",9,13.0,2,Werder Bremen,VfB Stuttgart,aaron hunt,kevin de bruyne,,,,,0,,,0,,0
GOCHkuO4/,GOCHkuO46,6,8,"Corner,  Stuttgart. Conceded by Zlatko Junuzovic.",2,,1,VfB Stuttgart,Werder Bremen,zlatko junuzovic,zlatko junuzovic,,,,,0,,,0,,0
GOCHkuO4/,GOCHkuO47,7,9,"Corner,  Stuttgart. Conceded by Aleksandar Ignjovski.",2,,1,VfB Stuttgart,Werder Bremen,aleksandar ignjovski,aleksandar ignjovski,,,,,0,,,0,,0
GOCHkuO4/,GOCHkuO48,8,9,Foul by Vedad Ibisevic (Stuttgart).,3,,1,VfB Stuttgart,Werder Bremen,vedad ibisevic,,,,,,0,,,0,,0
GOCHkuO4/,GOCHkuO49,9,9,Lukas Schmitz (SV Werder Bremen) wins a free kick in the defensive half.,8,,2,Werder Bremen,VfB Stuttgart,lukas schmitz,,,,,,0,2.0,,0,,0
GOCHkuO4/,GOCHkuO410,10,10,"Offside, Stuttgart. Georg Niedermeier tries a through ball, but Vedad Ibisevic is caught offside.",9,13.0,1,VfB Stuttgart,Werder Bremen,vedad ibisevic,georg niedermeier,,,,,0,,,0,,0
GOCHkuO4/,GOCHkuO411,11,11,Foul by Arthur Boka (Stuttgart).,3,,1,VfB Stuttgart,Werder Bremen,arthur boka,,,,,,0,,,0,,0
GOCHkuO4/,GOCHkuO412,12,11,Eljero Elia (SV Werder Bremen) wins a free kick in the defensive half.,8,,2,Werder Bremen,VfB Stuttgart,eljero elia,,,,,,0,2.0,,0,,0
GOCHkuO4/,GOCHkuO413,13,12,Tunay Torun (Stuttgart) wins a free kick in the attacking half.,8,,1,VfB Stuttgart,Werder Bremen,tunay torun,,,,,,0,1.0,,0,,0
GOCHkuO4/,GOCHkuO414,14,12,Foul by Sokratis (SV Werder Bremen).,3,,2,Werder Bremen,VfB Stuttgart,sokratis,,,,,,0,,,0,,0
GOCHkuO4/,GOCHkuO415,15,14,Foul by Vedad Ibisevic (Stuttgart).,3,,1,VfB Stuttgart,Werder Bremen,vedad ibisevic,,,,,,0,,,0,,0
GOCHkuO4/,GOCHkuO416,16,14,Sokratis (SV Werder Bremen) wins a free kick in the defensive half.,8,,2,Werder Bremen,VfB Stuttgart,sokratis,,,,,,0,2.0,,0,,0
GOCHkuO4/,GOCHkuO417,17,15,Attempt missed. Mehmet Ekici (SV Werder Bremen) right footed shot from outside the box misses to the right. Assisted by Nils Petersen.,1,12.0,2,Werder Bremen,VfB Stuttgart,mehmet ekici,nils petersen,,,9.0,2.0,0,15.0,1.0,1,1.0,0
